No.  Dim  Chc  Dgn  Prt  T/B  L/R  Dff  Rto
050  7    3    0    N/A  6    7    1    1  
051  7    3    0    N/A  6    7    1    1  
052  6    3    0    N/A  5    5    0    1  
053  6    3    0    N/A  5    5    0    1  
054  6    3    0    N/A  7    6    1    1  
055  6    3    0    N/A  4    7    3    1  
056  6    3    0    N/A  5    4    1    1  
057  7    3    0    N/A  7    5    2    1  
058  7    3    0    N/A  7    6    1    1  
059  7    3    0    N/A  7    6    1    1  
060  7    3    0    N/A  8    9    1    1  
061  7    3    0    N/A  7    6    1    1  
062  6    4    0    N/A  6    5    1    1  
063  6    4    0    N/A  5    7    2    1  
064  6    4    0    N/A  7    6    1    1  
065  6    4    0    N/A  6    5    1    1  
066  6    4    0    N/A  7    3    4    2  
067  6    4    0    N/A  4    6    2    1  
068  7    4    0    N/A  7    6    1    1  
069  7    4    0    N/A  8    10   2    1  
070  7    4    0    N/A  8    8    0    1  
071  7    4    0    N/A  8    10   2    1  
072  7    5    0    N/A  10   6    4    1  
073  7    5    0    N/A  10   7    3    1  
074  7    5    0    N/A  7    8    1    1  
075  7    5    0    N/A  8    7    1    1  
076  7    5    0    N/A  9    7    2    1  
077  8    6    0    N/A  9    11   2    1  
078  8    6    0    N/A  13   9    4    1  
079  8    6    0    N/A  11   9    2    1  
080  8    6    0    N/A  11   8    3    1  
081  8    6    0    N/A  10   12   2    1  
082  5    3    0    N/A  10   10   0    1  
083  5    3    0    N/A  7    8    1    1  
084  5    3    0    N/A  7    7    0    1  
085  5    3    0    N/A  6    6    0    1  
086  5    3    0    N/A  7    6    1    1  
087  5    3    0    N/A  7    6    1    1  
088  5    3    0    N/A  7    7    0    1  
089  5    3    0    N/A  8    6    2    1  
090  5    3    0    N/A  5    6    1    1  
091  5    3    0    N/A  4    5    1    1  
092  5    3    0    N/A  4    6    2    1  
093  5    3    0    N/A  6    4    2    1  
094  5    3    0    N/A  5    4    1    1  
095  5    3    0    N/A  4    4    0    1  
096  5    3    0    N/A  4    4    0    1  
097  5    3    0    N/A  5    4    1    1  
098  5    3    0    N/A  4    5    1    1  
099  7    3    0    N/A  14   14   0    1  
100  8    6    0    N/A  7    10   3    1  
101  8    6    0    N/A  10   10   0    1  
102  8    6    0    N/A  8    10   2    1  
103  8    6    0    N/A  9    9    0    1  
104  8    6    0    N/A  10   13   3    1  
105  8    6    0    N/A  10   8    2    1  
106  8    6    0    N/A  9    11   2    1  
107  8    6    0    N/A  10   9    1    1  
108  8    6    0    N/A  9    10   1    1  
109  8    6    0    N/A  16   16   0    1  
110  8    6    0    N/A  8    11   3    1  
111  4    3    0    N/A  1    3    2    3  
112  4    3    0    N/A  2    2    0    1  
113  4    3    0    N/A  2    2    0    1  
114  5    4    0    N/A  4    4    0    1  
115  5    4    0    N/A  4    4    0    1  
116  5    4    0    N/A  6    2    4    3  
117  5    4    0    N/A  5    3    2    1  
118  5    4    0    N/A  3    3    0    1  
119  5    4    0    N/A  4    2    2    2  
120  5    4    0    N/A  3    3    0    1  
121  6    5    0    N/A  5    7    2    1  
122  6    5    0    N/A  6    6    0    1  
123  6    5    0    N/A  6    6    0    1  
124  6    5    0    N/A  7    5    2    1  
125  6    5    0    N/A  7    5    2    1  
126  6    4    0    N/A  6    6    0    1  
127  6    4    0    N/A  7    5    2    1  
128  6    4    0    N/A  7    5    2    1  
129  6    4    0    N/A  6    6    0    1  
130  6    4    0    N/A  8    4    4    2  
131  7    6    0    N/A  9    12   3    1  
132  7    6    0    N/A  10   11   1    1  
133  7    6    0    N/A  9    12   3    1  
134  7    6    0    N/A  10   11   1    1  
135  7    6    0    N/A  11   10   1    1  
136  7    5    0    N/A  10   11   1    1  
137  7    5    0    N/A  10   11   1    1  
138  7    5    0    N/A  10   11   1    1  
139  7    5    0    N/A  11   10   1    1  
140  7    5    0    N/A  10   11   1    1  
141  5    4    0    N/A  4    6    2    1  
142  5    4    0    N/A  5    5    0    1  
143  5    4    0    N/A  5    5    0    1  
144  5    4    0    N/A  6    4    2    1  
145  5    4    0    N/A  5    5    0    1  
146  5    3    0    N/A  6    4    2    1  
147  5    3    0    N/A  6    4    2    1  
148  5    3    0    N/A  3    7    4    2  
149  5    4    0    N/A  6    2    4    3  
150  5    3    0    N/A  4    6    2    1  
151  6    4    0    N/A  7    5    2    1  
152  6    4    0    N/A  6    6    0    1  
153  6    4    0    N/A  7    5    2    1  
154  6    4    0    N/A  7    5    2    1  
155  6    4    0    N/A  5    7    2    1  
156  7    5    0    N/A  11   10   1    1  
157  7    5    0    N/A  10   11   1    1  
158  7    5    0    N/A  11   10   1    1  
159  7    5    0    N/A  11   10   1    1  
160  7    5    0    N/A  11   10   1    1  
161  5    4    1    N/A  3    4    1    1  
162  5    4    1    N/A  3    4    1    1  
163  5    4    1    N/A  5    2    3    2  
164  6    4    0    N/A  5    5    0    1  
165  6    5    1    N/A  6    4    2    1  
166  6    5    1    N/A  5    5    0    1  
167  6    5    1    N/A  5    5    0    1  
168  7    6    1    N/A  8    7    1    1  
169  7    6    1    N/A  8    8    0    1  
170  7    5    0    N/A  9    7    2    1  
171  5    3    0    N/A  3    4    1    1  
172  5    4    1    N/A  4    3    1    1  
173  5    4    1    N/A  4    3    1    1  
174  5    4    1    N/A  3    4    1    1  
175  6    5    0    N/A  5    6    1    1  
176  6    5    1    N/A  6    4    2    1  
177  6    5    1    N/A  5    5    0    1  
178  7    6    1    N/A  9    7    2    1  
179  7    6    1    N/A  7    9    2    1  
180  7    6    1    N/A  8    8    0    1  
181  5    3    0    N/A  3    4    1    1  
182  5    3    0    N/A  4    3    1    1  
183  6    4    0    N/A  5    5    0    1  
184  6    4    0    N/A  5    5    0    1  
185  8    6    0    N/A  9    10   1    1  
186  8    6    0    N/A  9    9    0    1  
187  8    6    0    N/A  9    9    0    1  
188  8    6    0    N/A  10   10   0    1  
189  7    5    0    N/A  7    9    2    1  
190  7    5    0    N/A  8    8    0    1  
191  5    3    0    N/A  2    5    3    2  
192  5    3    0    N/A  5    2    3    2  
193  6    4    0    N/A  5    5    0    1  
194  6    4    0    N/A  6    4    2    1  
195  8    6    0    N/A  9    11   2    1  
196  8    6    0    N/A  9    10   1    1  
197  8    6    0    N/A  8    11   3    1  
198  8    6    0    N/A  10   9    1    1  
199  7    5    0    N/A  8    8    0    1  
200  7    5    0    N/A  7    9    2    1  
201  5    3    0    N/A  3    4    1    1  
202  5    3    0    N/A  3    4    1    1  
203  6    4    0    N/A  6    4    2    1  
204  6    4    0    N/A  5    5    0    1  
205  8    6    0    N/A  7    10   3    1  
206  8    6    0    N/A  9    11   2    1  
207  8    6    0    N/A  11   10   1    1  
208  8    6    0    N/A  10   10   0    1  
209  7    5    0    N/A  8    8    0    1  
210  7    5    0    N/A  8    8    0    1  
211  5    3    0    N/A  2    5    3    2  
212  5    4    0    N/A  5    3    2    1  
213  6    4    0    N/A  5    5    0    1  
214  6    4    0    N/A  4    6    2    1  
215  8    6    0    N/A  8    12   4    1  
216  8    6    0    N/A  9    12   3    1  
217  8    6    0    N/A  9    9    0    1  
218  8    6    0    N/A  12   9    3    1  
219  7    5    0    N/A  9    7    2    1  
220  7    5    0    N/A  7    9    2    1  
221  5    3    0    N/A  3    4    1    1  
222  5    3    0    N/A  3    4    1    1  
223  6    4    0    N/A  6    4    2    1  
224  6    4    0    N/A  5    5    0    1  
225  8    6    0    N/A  9    10   1    1  
226  8    6    0    N/A  13   10   3    1  
227  8    6    0    N/A  11   9    2    1  
228  8    6    0    N/A  9    9    0    1  
229  7    5    0    N/A  8    8    0    1  
230  7    5    0    N/A  9    7    2    1  
231  5    4    0    N/A  5    5    0    1  
232  5    4    0    N/A  5    5    0    1  
233  5    4    0    N/A  2    8    6    4  
234  5    4    0    N/A  5    3    2    1  
235  5    4    0    N/A  3    5    2    1  
236  5    4    0    N/A  5    3    2    1  
237  5    4    0    N/A  4    4    0    1  
238  5    4    0    N/A  4    4    0    1  
239  5    4    0    N/A  3    3    0    1  
240  5    4    0    N/A  2    4    2    2  
241  5    4    0    N/A  5    3    2    1  
242  5    4    0    N/A  4    2    2    2  
243  5    4    0    N/A  2    4    2    2  
244  5    4    0    N/A  3    3    0    1  
245  5    4    0    N/A  2    4    2    2  
246  5    3    0    N/A  6    2    4    3  
247  6    4    0    N/A  5    7    2    1  
248  6    4    0    N/A  8    4    4    2  
249  6    5    0    N/A  9    9    0    1  
250  6    4    0    N/A  5    5    0    1  
251  5    4    0    N/A  4    5    1    1  
252  5    4    0    N/A  3    5    2    1  
253  5    3    0    N/A  4    4    0    1  
254  5    4    0    N/A  5    5    0    1  
255  6    5    0    N/A  5    4    1    1  
256  7    5    0    N/A  6    6    0    1  
257  7    5    0    N/A  6    7    1    1  
258  7    5    0    N/A  8    6    2    1  
259  7    5    0    N/A  8    8    0    1  
260  7    5    0    N/A  9    8    1    1  
261  7    5    0    N/A  8    7    1    1  
262  7    4    0    N/A  8    6    2    1  
263  4    3    0    N/A  3    1    2    3  
264  4    3    0    N/A  2    2    0    1  
265  5    4    0    N/A  4    6    2    1  
266  5    4    0    N/A  5    5    0    1  
267  5    4    0    N/A  3    5    2    1  
268  5    4    0    N/A  4    4    0    1  
269  5    4    0    N/A  4    2    2    2  
270  5    4    0    N/A  3    3    0    1  
271  6    5    0    N/A  10   8    2    1  
272  6    5    0    N/A  8    4    4    2  
273  4    3    0    N/A  3    1    2    3  
274  5    4    0    N/A  6    4    2    1  
275  5    4    0    N/A  4    4    0    1  
276  5    4    0    N/A  5    3    2    1  
277  5    4    0    N/A  4    6    2    1  
278  5    4    0    N/A  4    6    2    1  
279  5    4    0    N/A  3    5    2    1  
280  5    4    0    N/A  4    4    0    1  
281  5    4    0    N/A  3    3    0    1  
282  6    5    0    N/A  8    10   2    1  
283  5    3    0    N/A  3    4    1    1  
284  5    3    0    N/A  4    4    0    1  
285  5    3    0    N/A  3    4    1    1  
286  8    6    0    N/A  13   9    4    1  
287  8    6    0    N/A  10   12   2    1  
288  8    6    0    N/A  11   9    2    1  
289  8    6    0    N/A  12   11   1    1  
290  8    6    0    N/A  10   11   1    1  
291  5    3    0    N/A  2    5    3    2  
292  5    3    0    N/A  4    3    1    1  
293  6    4    0    N/A  5    5    0    1  
294  6    4    0    N/A  4    6    2    1  
295  7    5    0    N/A  7    9    2    1  
296  7    5    0    N/A  8    8    0    1  
297  8    6    0    N/A  9    10   1    1  
298  8    6    0    N/A  9    9    0    1  
299  8    6    0    N/A  10   11   1    1  
300  8    6    0    N/A  10   10   0    1  
301  5    3    0    N/A  3    3    0    1  
302  5    3    0    N/A  3    4    1    1  
303  5    3    0    N/A  3    4    1    1  
304  5    3    0    N/A  3    4    1    1  
305  5    3    0    N/A  4    3    1    1  
306  5    3    0    N/A  3    4    1    1  
307  5    3    0    N/A  3    4    1    1  
308  5    3    0    N/A  6    3    3    2  
309  5    3    0    N/A  5    2    3    2  
310  5    3    0    N/A  5    4    1    1  
311  5    4    0    N/A  1    5    4    5  
312  5    4    0    N/A  3    3    0    1  
313  6    5    0    N/A  7    5    2    1  
314  6    5    0    N/A  7    5    2    1  
315  6    5    0    N/A  6    6    0    1  
316  6    5    0    N/A  5    7    2    1  
317  7    6    0    N/A  10   11   1    1  
318  7    6    0    N/A  10   11   1    1  
319  7    6    0    N/A  10   11   1    1  
320  7    6    0    N/A  12   9    3    1  
321  4    3    0    N/A  1    3    2    3  
322  4    3    0    N/A  1    3    2    3  
323  5    4    0    N/A  5    5    0    1  
324  5    4    0    N/A  4    4    0    1  
325  5    4    0    N/A  4    2    2    2  
326  6    5    0    N/A  6    6    0    1  
327  6    5    0    N/A  5    7    2    1  
328  6    5    0    N/A  6    6    0    1  
329  7    6    0    N/A  11   10   1    1  
330  7    6    0    N/A  11   10   1    1  
331  4    3    0    N/A  1    3    2    3  
332  4    3    0    N/A  2    2    0    1  
333  5    4    0    N/A  5    5    0    1  
334  5    4    0    N/A  5    5    0    1  
335  5    4    0    N/A  3    5    2    1  
336  6    5    0    N/A  5    7    2    1  
337  6    5    0    N/A  6    6    0    1  
338  6    5    0    N/A  7    5    2    1  
339  7    6    0    N/A  8    13   5    1  
340  7    6    0    N/A  10   11   1    1  
341  5    3    0    N/A  3    4    1    1  
342  5    3    0    N/A  4    2    2    2  
343  5    3    0    N/A  4    2    2    2  
344  5    3    0    N/A  3    4    1    1  
345  5    3    0    N/A  4    5    1    1  
346  5    3    0    N/A  2    4    2    2  
347  5    3    0    N/A  4    3    1    1  
348  5    3    0    N/A  2    4    2    2  
349  5    3    0    N/A  4    4    0    1  
350  5    3    0    N/A  2    5    3    2  
351  5    3    0    N/A  4    4    0    1  
352  5    3    0    N/A  3    3    0    1  
353  5    3    0    N/A  3    3    0    1  
354  5    3    0    N/A  4    3    1    1  
355  5    3    0    N/A  3    4    1    1  
356  5    3    0    N/A  4    4    0    1  
357  5    3    0    N/A  4    2    2    2  
358  5    3    0    N/A  3    4    1    1  
359  5    3    0    N/A  2    4    2    2  
360  5    3    0    N/A  4    3    1    1  
361  5    3    0    N/A  4    4    0    1  
362  5    3    0    N/A  3    5    2    1  
363  5    3    0    N/A  3    3    0    1  
364  5    3    0    N/A  3    4    1    1  
365  5    3    0    N/A  2    4    2    2  
366  5    3    0    N/A  4    5    1    1  
367  5    3    0    N/A  4    3    1    1  
368  5    3    0    N/A  4    4    0    1  
369  5    3    0    N/A  4    3    1    1  
370  5    3    0    N/A  2    5    3    2  
371  4    4    0    N/A  3    1    2    3  
372  4    3    0    N/A  2    2    0    1  
373  5    5    0    N/A  5    5    0    1  
374  5    5    0    N/A  5    3    2    1  
375  5    5    0    N/A  3    3    0    1  
376  5    4    0    N/A  3    5    2    1  
377  5    4    0    N/A  4    4    0    1  
378  5    4    0    N/A  4    2    2    2  
379  6    5    0    N/A  5    7    2    1  
380  7    6    0    N/A  9    12   3    1  
381  4    4    0    N/A  3    1    2    3  
382  4    3    0    N/A  3    1    2    3  
383  5    5    0    N/A  6    4    2    1  
384  5    5    0    N/A  4    4    0    1  
385  5    5    0    N/A  4    2    2    2  
386  5    4    0    N/A  4    6    2    1  
387  5    4    0    N/A  3    5    2    1  
388  5    4    0    N/A  3    5    2    1  
389  6    5    0    N/A  5    7    2    1  
390  7    6    0    N/A  11   10   1    1  
391  4    4    0    N/A  3    1    2    3  
392  4    3    0    N/A  2    2    0    1  
393  5    5    0    N/A  4    6    2    1  
394  5    5    0    N/A  5    3    2    1  
395  5    5    0    N/A  4    2    2    2  
396  5    4    0    N/A  4    6    2    1  
397  5    4    0    N/A  5    3    2    1  
398  5    4    0    N/A  3    3    0    1  
399  6    5    0    N/A  6    6    0    1  
400  7    6    0    N/A  10   11   1    1  
401  4    4    0    N/A  3    1    2    3  
402  4    3    0    N/A  1    3    2    3  
403  5    5    0    N/A  4    4    0    1  
404  5    5    0    N/A  4    4    0    1  
405  5    4    0    N/A  4    6    2    1  
406  5    4    0    N/A  6    4    2    1  
407  5    4    0    N/A  4    4    0    1  
408  5    4    0    N/A  3    3    0    1  
409  6    5    0    N/A  5    7    2    1  
410  7    6    0    N/A  9    12   3    1  
411  4    4    0    N/A  2    2    0    1  
412  4    3    0    N/A  2    2    0    1  
413  5    5    0    N/A  4    4    0    1  
414  5    5    0    N/A  3    5    2    1  
415  5    4    0    N/A  6    4    2    1  
416  5    4    0    N/A  3    7    4    2  
417  5    4    0    N/A  4    4    0    1  
418  5    4    0    N/A  4    2    2    2  
419  6    5    0    N/A  6    6    0    1  
420  7    6    0    N/A  12   9    3    1  
421  4    4    0    N/A  1    3    2    3  
422  4    3    0    N/A  3    1    2    3  
423  5    5    0    N/A  5    3    2    1  
424  5    5    0    N/A  5    3    2    1  
425  5    4    0    N/A  5    5    0    1  
426  5    4    0    N/A  2    6    4    3  
427  5    4    0    N/A  5    3    2    1  
428  5    4    0    N/A  3    3    0    1  
429  6    5    0    N/A  5    7    2    1  
430  7    6    0    N/A  11   10   1    1  
431  5    3    0    N/A  3    4    1    1  
432  5    3    0    N/A  4    3    1    1  
433  5    3    0    N/A  3    3    0    1  
434  5    3    0    N/A  4    4    0    1  
435  5    3    0    N/A  6    3    3    2  
436  5    3    0    N/A  4    5    1    1  
437  5    3    0    N/A  2    4    2    2  
438  5    3    0    N/A  4    5    1    1  
439  5    3    0    N/A  3    4    1    1  
440  5    3    0    N/A  4    4    0    1  
441  5    3    0    N/A  4    4    0    1  
442  5    3    0    N/A  4    3    1    1  
443  5    3    0    N/A  4    4    0    1  
444  5    3    0    N/A  4    3    1    1  
445  5    3    0    N/A  4    3    1    1  
446  5    3    0    N/A  3    4    1    1  
447  5    3    0    N/A  2    5    3    2  
448  5    3    0    N/A  2    4    2    2  
449  5    3    0    N/A  3    4    1    1  
450  5    3    0    N/A  4    4    0    1  
451  5    4    0    N/A  6    4    2    1  
452  5    4    0    N/A  4    6    2    1  
453  5    4    0    N/A  4    4    0    1  
454  5    4    0    N/A  5    3    2    1  
455  5    4    0    N/A  3    3    0    1  
456  5    4    0    N/A  2    4    2    2  
457  6    5    0    N/A  8    10   2    1  
458  6    5    0    N/A  10   8    2    1  
459  6    5    0    N/A  6    6    0    1  
460  6    5    0    N/A  5    7    2    1  
461  5    4    0    N/A  4    6    2    1  
462  5    4    0    N/A  5    5    0    1  
463  5    4    0    N/A  3    5    2    1  
464  5    4    0    N/A  4    4    0    1  
465  5    4    0    N/A  3    3    0    1  
466  5    4    0    N/A  3    3    0    1  
467  6    5    0    N/A  8    10   2    1  
468  6    5    0    N/A  9    9    0    1  
469  6    5    0    N/A  6    6    0    1  
470  6    5    0    N/A  4    8    4    2  
471  5    4    0    N/A  5    5    0    1  
472  5    4    0    N/A  5    6    1    1  
473  5    4    0    N/A  7    5    2    1  
474  5    4    0    N/A  7    6    1    1  
475  6    5    0    N/A  10   6    4    1  
476  6    5    0    N/A  8    7    1    1  
477  6    5    0    N/A  5    8    3    1  
478  6    5    0    N/A  8    5    3    1  
479  7    6    0    N/A  14   14   0    1  
480  8    7    0    N/A  12   16   4    1  
481  5    4    0    N/A  5    3    2    1  
482  5    4    0    N/A  5    3    2    1  
483  5    4    0    N/A  5    3    2    1  
484  5    4    0    N/A  4    4    0    1  
485  5    4    0    N/A  4    4    0    1  
486  5    4    0    N/A  3    5    2    1  
487  5    4    0    N/A  5    3    2    1  
488  6    5    0    N/A  9    9    0    1  
489  6    5    0    N/A  9    9    0    1  
490  6    5    0    N/A  10   8    2    1  
491  5    4    0    N/A  5    3    2    1  
492  5    4    0    N/A  4    4    0    1  
493  5    4    0    N/A  6    2    4    3  
494  5    4    0    N/A  4    4    0    1  
495  5    4    0    N/A  4    4    0    1  
496  5    4    0    N/A  2    6    4    3  
497  5    4    0    N/A  3    5    2    1  
498  6    5    0    N/A  10   8    2    1  
499  6    5    0    N/A  11   7    4    1  
500  6    5    0    N/A  9    9    0    1  
501  5    4    0    N/A  4    6    2    1  
502  5    4    0    N/A  5    5    0    1  
503  5    4    0    N/A  4    6    2    1  
504  5    4    0    N/A  3    5    2    1  
505  5    4    0    N/A  4    4    0    1  
506  5    4    0    N/A  5    3    2    1  
507  5    4    0    N/A  3    3    0    1  
508  5    4    0    N/A  3    3    0    1  
509  5    4    0    N/A  5    1    4    5  
510  6    5    0    N/A  9    9    0    1  
511  5    4    0    N/A  4    6    2    1  
512  5    4    0    N/A  5    5    0    1  
513  5    4    0    N/A  4    6    2    1  
514  5    4    0    N/A  5    3    2    1  
515  5    4    0    N/A  4    4    0    1  
516  5    4    0    N/A  4    4    0    1  
517  5    4    0    N/A  3    3    0    1  
518  5    4    0    N/A  2    4    2    2  
519  5    4    0    N/A  3    3    0    1  
520  6    5    0    N/A  9    9    0    1  
521  5    4    0    N/A  4    6    2    1  
522  5    4    0    N/A  5    5    0    1  
523  5    4    0    N/A  5    3    2    1  
524  5    4    0    N/A  3    5    2    1  
525  5    4    0    N/A  2    4    2    2  
526  6    5    0    N/A  9    9    0    1  
527  6    5    0    N/A  7    5    2    1  
528  6    5    0    N/A  8    4    4    2  
529  7    6    0    N/A  14   14   0    1  
530  7    6    0    N/A  11   10   1    1  
